,time,open,high,low,close,tick_volume,spread,real_volume,diff
124,1711080000,1.08652,1.08658,1.08311,1.08332,5919,0,0,-0.0031999999999998696
125,1711094400,1.08332,1.08419,1.0808200000000001,1.08115,8775,0,0,-0.0021700000000000053
126,1711108800,1.08115,1.08313,1.08114,1.0826500000000001,9896,0,0,0.0015000000000000568
127,1711123200,1.08264,1.08317,1.08057,1.08058,10748,0,0,-0.0020599999999999508
128,1711137600,1.08058,1.08107,1.08017,1.08086,4856,0,0,0.00027999999999983594
129,1711324800,1.08078,1.08104,1.08027,1.08036,2465,0,0,-0.00042000000000008697
130,1711339200,1.08036,1.08221,1.08022,1.08131,4877,0,0,0.0009500000000000064
131,1711353600,1.08131,1.08237,1.08073,1.08138,6520,0,0,7.00000000000145e-05
132,1711368000,1.08138,1.0834,1.08116,1.08306,7221,0,0,0.0016799999999999038
133,1711382400,1.08306,1.08424,1.08292,1.08366,8997,0,0,0.000600000000000156
134,1711396800,1.08366,1.08409,1.08333,1.08369,4639,0,0,2.999999999997449e-05
135,1711411200,1.08367,1.08428,1.08289,1.08426,7036,0,0,0.0005900000000000905
136,1711425600,1.08426,1.08456,1.08359,1.08402,3822,0,0,-0.00024000000000001798
137,1711440000,1.08402,1.0853,1.08386,1.08494,7819,0,0,0.0009200000000000319
138,1711454400,1.08495,1.08643,1.08456,1.0852,11371,0,0,0.00024999999999986144
139,1711468800,1.0852,1.08585,1.08243,1.08283,13417,0,0,-0.0023699999999999832
140,1711483200,1.08283,1.08358,1.08268,1.08313,5518,0,0,0.00029999999999996696
141,1711497600,1.08307,1.08336,1.08275,1.08295,2911,0,0,-0.00011999999999989797
142,1711512000,1.08294,1.08308,1.08205,1.08298,4303,0,0,4.0000000000040004e-05
143,1711526400,1.08297,1.08338,1.08213,1.08287,7068,0,0,-9.999999999998899e-05
144,1711540800,1.08287,1.08391,1.08151,1.08188,11163,0,0,-0.0009900000000000464
145,1711555200,1.08188,1.08257,1.08108,1.08231,11825,0,0,0.0004300000000001525
146,1711569600,1.08231,1.0829,1.08175,1.08277,5950,0,0,0.00045999999999990493
147,1711584000,1.08224,1.08271,1.0808,1.08175,6297,0,0,-0.0004900000000001015
148,1711598400,1.08175,1.0826,1.0815,1.08235,4131,0,0,0.0005999999999999339
149,1711612800,1.08235,1.08266,1.07898,1.07919,7096,0,0,-0.0031599999999998296
150,1711627200,1.07919,1.08088,1.07751,1.0808200000000001,10973,0,0,0.0016300000000000203
151,1711641600,1.08081,1.08188,1.07928,1.07993,17213,0,0,-0.0008799999999999919
152,1711656000,1.07993,1.08019,1.07846,1.07869,7013,0,0,-0.0012400000000001299
153,1711670400,1.0787,1.07931,1.0783800000000001,1.07839,7969,0,0,-0.00031000000000003247
154,1711684800,1.07839,1.0784799999999999,1.07738,1.07767,6051,0,0,-0.0007200000000000539
155,1711699200,1.07766,1.07819,1.07681,1.07785,4380,0,0,0.00018999999999991246
156,1711713600,1.07785,1.0805,1.07728,1.07979,8321,0,0,0.0019400000000000528
157,1711728000,1.0798,1.08031,1.07865,1.07877,11241,0,0,-0.0010300000000000864
158,1711742400,1.07876,1.07949,1.07871,1.07887,4895,0,0,0.0001100000000000545
